,year,region,installed,tech,agent,category,sector,capital_costs
520,2055,R1,2045,gasboiler,A2,retrofit,residential,216.710.524.066
201,2035,R1,2030,windturbine,A1,retrofit,power,1.334.913.537.915
423,2050,R1,2030,gasboiler,A1,retrofit,residential,3.00E-08
337,2045,R1,2035,gasboiler,A1,retrofit,residential,525.263.151.895
464,2050,R1,2045,gasboiler,A3,retrofit,residential,433.421.048.132
218,2035,R1,2030,gasCCGT,A1,retrofit,power,4.76E-03
657,2060,R1,2050,gassupply1,A1,retrofit,gas,10.894.112
224,2035,R1,2025,gassupply1,A1,retrofit,gas,4.280.629.616.893
442,2050,R1,2040,gasboiler,A2,retrofit,residential,138.552.631.579
588,2060,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
114,2030,R1,2030,gasCCGT,A1,retrofit,power,2.38E-03
93,2030,R1,2025,gasboiler,A2,retrofit,residential,177.236.839.855
398,2045,R1,2030,gasCCGT,A1,retrofit,power,4.76E-03
391,2045,R1,2030,windturbine,A1,retrofit,power,29.863.092.972
173,2035,R1,2030,heatpump,A2,retrofit,residential,1.188.157.894.737
143,2030,R1,2025,gassupply1,A1,retrofit,gas,5.707.506.155.858
388,2045,R1,2025,windturbine,A1,retrofit,power,408.461.676.283
466,2050,R1,2040,gasboiler,A3,retrofit,residential,184.736.842.105
302,2040,R1,2025,windturbine,A1,retrofit,power,612.692.514.424
58,2025,R1,2030,gasCCGT,A1,retrofit,power,11.891.171.995
415,2050,R1,2040,gasboiler,A1,retrofit,residential,123.157.894.737
615,2060,R1,2030,gasboiler,A2,retrofit,residential,3.00E-08
104,2030,R1,2030,gasboiler,A3,retrofit,residential,0.990789496
362,2045,R1,2040,gasboiler,A3,retrofit,residential,0.923684211
324,2045,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
634,2060,R1,2050,gasboiler,A3,retrofit,residential,184.736.842.105
412,2045,R1,2035,gassupply1,A1,retrofit,gas,6.877.614.481.784
444,2050,R1,2030,gasboiler,A2,retrofit,residential,4.50E-08
272,2040,R1,2035,gasboiler,A3,retrofit,residential,131.315.787.974
425,2050,R1,2045,gasboiler,A1,retrofit,residential,288.947.365.421
404,2045,R1,2035,gassupply1,A1,retrofit,gas,5.158.210.861.338
105,2030,R1,2025,gasboiler,A3,retrofit,residential,177.236.839.855
314,2040,R1,2030,gassupply1,A1,retrofit,gas,5.184.961.775.248
631,2060,R1,2050,gasboiler,A3,retrofit,residential,277.105.263.158
605,2060,R1,2055,gasboiler,A2,retrofit,residential,216.710.524.066
443,2050,R1,2045,gasboiler,A2,retrofit,residential,216.710.524.066
459,2050,R1,2025,gasboiler,A3,retrofit,residential,2.25E-08
39,2025,R1,2025,heatpump,A1,retrofit,residential,2.642.105.263.158
310,2040,R1,2025,windturbine,A1,retrofit,power,816.923.352.565
180,2035,R1,2025,gasboiler,A3,retrofit,residential,1.50E-08
467,2050,R1,2045,gasboiler,A3,retrofit,residential,288.947.365.421
140,2030,R1,2025,gassupply1,A1,retrofit,gas,12.486.649.605.867
551,2055,R1,2050,gasboiler,A3,retrofit,residential,184.736.842.105
641,2060,R1,2025,gasCCGT,A1,retrofit,power,4.76E-03
645,2060,R1,2050,gassupply1,A1,retrofit,gas,8.170.584
155,2035,R1,2030,heatpump,A1,retrofit,residential,1.584.210.526.316
454,2050,R1,2040,gasboiler,A3,retrofit,residential,138.552.631.579
177,2035,R1,2025,gasboiler,A2,retrofit,residential,3.00E-08
515,2055,R1,2050,gasboiler,A1,retrofit,residential,246.315.789.474
234,2040,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
179,2035,R1,2030,heatpump,A2,retrofit,residential,1.584.210.526.316
60,2025,R1,2025,gasCCGT,A1,retrofit,power,178.367.579.925
99,2030,R1,2025,gasboiler,A2,retrofit,residential,354.473.679.711
277,2040,R1,2030,gasboiler,A3,retrofit,residential,0.792105263
653,2060,R1,2055,gassupply1,A1,retrofit,gas,6.035.792.105.782
587,2060,R1,2055,gasboiler,A1,retrofit,residential,288.947.365.421
506,2055,R1,2050,gasboiler,A1,retrofit,residential,123.157.894.737
32,2025,R1,2025,gasboiler,A1,retrofit,residential,2.1
654,2060,R1,2050,gassupply1,A1,retrofit,gas,16.341.168
68,2025,R1,2030,gassupply1,A1,retrofit,gas,6.885.744.535.289
72,2030,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
300,2040,R1,2030,gasCCGT,A1,retrofit,power,3.57E-03
638,2060,R1,2030,gasCCGT,A1,retrofit,power,2.38E-03
136,2030,R1,2030,gassupply1,A1,retrofit,gas,4.162.216.535.289
129,2030,R1,2030,gasCCGT,A1,retrofit,power,4.76E-03
436,2050,R1,2040,gasboiler,A2,retrofit,residential,138.552.631.579
432,2050,R1,2030,gasboiler,A2,retrofit,residential,1.50E-08
485,2050,R1,2030,windturbine,A1,retrofit,power,2.669.827.075.831
498,2055,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
441,2050,R1,2030,gasboiler,A2,retrofit,residential,2.25E-08
223,2035,R1,2030,gassupply1,A1,retrofit,gas,3.456.641.183.498
246,2040,R1,2030,gasboiler,A1,retrofit,residential,6.00E-08
541,2055,R1,2045,gasboiler,A3,retrofit,residential,144.473.682.711
374,2045,R1,2040,gasboiler,A3,retrofit,residential,277.105.263.158
400,2045,R1,2025,windturbine,A1,retrofit,power,816.923.352.565
611,2060,R1,2055,gasboiler,A2,retrofit,residential,216.710.524.066
389,2045,R1,2030,windturbine,A1,retrofit,power,1.334.913.537.915
434,2050,R1,2045,gasboiler,A2,retrofit,residential,144.473.682.711
206,2035,R1,2030,gasCCGT,A1,retrofit,power,2.38E-03
492,2050,R1,2040,gassupply1,A1,retrofit,gas,9.760.670.294.218
311,2040,R1,2030,windturbine,A1,retrofit,power,2.669.827.075.831
219,2035,R1,2030,windturbine,A1,retrofit,power,398.174.572.959
629,2060,R1,2055,gasboiler,A3,retrofit,residential,216.710.524.066
524,2055,R1,2050,gasboiler,A2,retrofit,residential,0.923684211
610,2060,R1,2050,gasboiler,A2,retrofit,residential,138.552.631.579
544,2055,R1,2045,gasboiler,A3,retrofit,residential,216.710.524.066
254,2040,R1,2035,gasboiler,A2,retrofit,residential,131.315.787.974
484,2050,R1,2025,windturbine,A1,retrofit,power,816.923.352.565
57,2025,R1,2030,windturbine,A1,retrofit,power,29.863.092.972
440,2050,R1,2045,gasboiler,A2,retrofit,residential,144.473.682.711
649,2060,R1,2050,gassupply2,A1,retrofit,gas,1.881.168.443.462
186,2035,R1,2030,gasboiler,A3,retrofit,residential,1.50E-08
331,2045,R1,2035,gasboiler,A1,retrofit,residential,175.087.717.298
576,2055,R1,2045,gassupply1,A1,retrofit,gas,12.071.584.211.564
406,2045,R1,2035,gassupply1,A1,retrofit,gas,3.438.807.240.892
141,2030,R1,2025,gassupply1,A1,retrofit,gas,8.561.259.233.786
491,2050,R1,2045,gassupply1,A1,retrofit,gas,4.023.861.403.855
319,2040,R1,2035,gassupply1,A1,retrofit,gas,5.158.210.861.338
505,2055,R1,2045,gasboiler,A1,retrofit,residential,192.631.576.947
221,2035,R1,2030,windturbine,A1,retrofit,power,2.669.827.075.831
625,2060,R1,2050,gasboiler,A3,retrofit,residential,0.923684211
142,2030,R1,2030,gassupply1,A1,retrofit,gas,8.324.433.070.578
323,2040,R1,2035,gassupply1,A1,retrofit,gas,6.877.614.481.784
70,2025,R1,2030,gassupply1,A1,retrofit,gas,20.657.233.605.867
458,2050,R1,2045,gasboiler,A3,retrofit,residential,144.473.682.711
145,2035,R1,2025,gasboiler,A1,retrofit,residential,157.543.857.649
647,2060,R1,2055,gassupply1,A1,retrofit,gas,6.035.792.105.782
583,2060,R1,2050,gasboiler,A1,retrofit,residential,123.157.894.737
44,2025,R1,2030,gasboiler,A2,retrofit,residential,171.052.631.579
220,2035,R1,2025,windturbine,A1,retrofit,power,816.923.352.565
569,2055,R1,2050,gassupply2,A1,retrofit,gas,2.821.752.665.193
590,2060,R1,2055,gasboiler,A1,retrofit,residential,192.631.576.947
399,2045,R1,2030,windturbine,A1,retrofit,power,398.174.572.959
230,2035,R1,2025,gassupply1,A1,retrofit,gas,8.561.259.233.786
368,2045,R1,2040,gasboiler,A3,retrofit,residential,0.923684211
215,2035,R1,2030,windturbine,A1,retrofit,power,597.261.859.439
632,2060,R1,2055,gasboiler,A3,retrofit,residential,433.421.048.132
33,2025,R1,2030,heatpump,A1,retrofit,residential,1.321.052.631.579
519,2055,R1,2030,gasboiler,A2,retrofit,residential,2.25E-08
47,2025,R1,2030,gasboiler,A2,retrofit,residential,342.105.263.158
40,2025,R1,2030,gasboiler,A1,retrofit,residential,2.8
289,2040,R1,2030,windturbine,A1,retrofit,power,19.908.728.648
36,2025,R1,2030,gasboiler,A1,retrofit,residential,2.1
557,2055,R1,2030,windturbine,A1,retrofit,power,1.334.913.537.915
94,2030,R1,2030,gasboiler,A2,retrofit,residential,0.660526331
500,2055,R1,2050,gasboiler,A1,retrofit,residential,123.157.894.737
340,2045,R1,2035,gasboiler,A1,retrofit,residential,350.175.434.596
542,2055,R1,2050,gasboiler,A3,retrofit,residential,0.923684211
55,2025,R1,2030,windturbine,A1,retrofit,power,19.908.728.648
235,2040,R1,2030,heatpump,A1,retrofit,residential,1.056.140.350.877
144,2035,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
366,2045,R1,2030,gasboiler,A3,retrofit,residential,1.50E-08
424,2050,R1,2040,gasboiler,A1,retrofit,residential,184.736.842.105
124,2030,R1,2030,windturbine,A1,retrofit,power,29.863.092.972
499,2055,R1,2045,gasboiler,A1,retrofit,residential,192.631.576.947
555,2055,R1,2030,windturbine,A1,retrofit,power,2.002.370.306.873
545,2055,R1,2050,gasboiler,A3,retrofit,residential,138.552.631.579
161,2035,R1,2030,heatpump,A1,retrofit,residential,2.112.280.701.754
83,2030,R1,2025,gasboiler,A1,retrofit,residential,236.315.786.474
438,2050,R1,2030,gasboiler,A2,retrofit,residential,1.50E-08
327,2045,R1,2030,gasboiler,A1,retrofit,residential,3.00E-08
421,2050,R1,2040,gasboiler,A1,retrofit,residential,123.157.894.737
167,2035,R1,2030,heatpump,A2,retrofit,residential,1.188.157.894.737
429,2050,R1,2030,gasboiler,A1,retrofit,residential,4.00E-08
407,2045,R1,2040,gassupply1,A1,retrofit,gas,6.507.113.529.479
266,2040,R1,2035,gasboiler,A2,retrofit,residential,393.947.363.921
480,2050,R1,2030,gasCCGT,A1,retrofit,power,7.13E-03
97,2030,R1,2025,gasboiler,A2,retrofit,residential,177.236.839.855
497,2050,R1,2045,gassupply1,A1,retrofit,gas,8.047.722.807.709
494,2050,R1,2040,gassupply1,A1,retrofit,gas,19.521.340.588.436
257,2040,R1,2035,gasboiler,A2,retrofit,residential,196.973.681.961
598,2060,R1,2050,gasboiler,A1,retrofit,residential,246.315.789.474
397,2045,R1,2030,windturbine,A1,retrofit,power,4.004.740.613.746
305,2040,R1,2030,windturbine,A1,retrofit,power,597.261.859.439
48,2025,R1,2030,gasboiler,A3,retrofit,residential,171.052.631.579
292,2040,R1,2030,gasCCGT,A1,retrofit,power,3.57E-03
120,2030,R1,2030,gasCCGT,A1,retrofit,power,2.38E-03
316,2040,R1,2030,gassupply1,A1,retrofit,gas,3.456.641.183.498
601,2060,R1,2050,gasboiler,A2,retrofit,residential,0.923684211
585,2060,R1,2030,gasboiler,A1,retrofit,residential,3.00E-08
164,2035,R1,2030,heatpump,A2,retrofit,residential,792.105.263.158
87,2030,R1,2030,gasboiler,A1,retrofit,residential,4.00E-08
630,2060,R1,2030,gasboiler,A3,retrofit,residential,4.50E-08
352,2045,R1,2035,gasboiler,A2,retrofit,residential,196.973.681.961
269,2040,R1,2035,gasboiler,A2,retrofit,residential,262.631.575.947
249,2040,R1,2030,gasboiler,A1,retrofit,residential,4.00E-08
102,2030,R1,2030,gasboiler,A3,retrofit,residential,0.660526331
414,2050,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
533,2055,R1,2050,gasboiler,A2,retrofit,residential,184.736.842.105
245,2040,R1,2035,gasboiler,A1,retrofit,residential,262.631.575.947
501,2055,R1,2030,gasboiler,A1,retrofit,residential,3.00E-08
624,2060,R1,2030,gasboiler,A3,retrofit,residential,1.50E-08
156,2035,R1,2030,gasboiler,A1,retrofit,residential,6.00E-08
560,2055,R1,2030,gasCCGT,A1,retrofit,power,7.13E-03
348,2045,R1,2030,gasboiler,A2,retrofit,residential,1.50E-08
450,2050,R1,2030,gasboiler,A3,retrofit,residential,1.50E-08
171,2035,R1,2030,gasboiler,A2,retrofit,residential,2.25E-08
153,2035,R1,2030,gasboiler,A1,retrofit,residential,3.00E-08
517,2055,R1,2045,gasboiler,A2,retrofit,residential,144.473.682.711
600,2060,R1,2030,gasboiler,A2,retrofit,residential,1.50E-08
565,2055,R1,2050,gassupply1,A1,retrofit,gas,5.447.056
288,2040,R1,2030,gasCCGT,A1,retrofit,power,2.38E-03
77,2030,R1,2025,gasboiler,A1,retrofit,residential,236.315.786.474
159,2035,R1,2030,gasboiler,A1,retrofit,residential,4.00E-08
571,2055,R1,2050,gassupply1,A1,retrofit,gas,5.447.056
53,2025,R1,2030,gasboiler,A3,retrofit,residential,342.105.263.158
622,2060,R1,2050,gasboiler,A3,retrofit,residential,138.552.631.579
184,2035,R1,2025,gasboiler,A3,retrofit,residential,177.236.839.855
552,2055,R1,2030,gasCCGT,A1,retrofit,power,2.38E-03
149,2035,R1,2030,heatpump,A1,retrofit,residential,1.584.210.526.316
525,2055,R1,2030,gasboiler,A2,retrofit,residential,2.25E-08
633,2060,R1,2030,gasboiler,A3,retrofit,residential,3.00E-08
71,2025,R1,2030,gassupply1,A1,retrofit,gas,13.771.489.070.578
195,2035,R1,2030,gasboiler,A3,retrofit,residential,3.00E-08
286,2040,R1,2030,gasboiler,A3,retrofit,residential,158.421.052.632
86,2030,R1,2025,gasboiler,A1,retrofit,residential,472.631.572.947
287,2040,R1,2035,gasboiler,A3,retrofit,residential,262.631.575.947
326,2045,R1,2040,gasboiler,A1,retrofit,residential,123.157.894.737
577,2055,R1,2050,gassupply1,A1,retrofit,gas,16.341.168
209,2035,R1,2030,windturbine,A1,retrofit,power,1.334.913.537.915
563,2055,R1,2030,windturbine,A1,retrofit,power,2.669.827.075.831
222,2035,R1,2025,gassupply1,A1,retrofit,gas,2.853.753.077.929
427,2050,R1,2040,gasboiler,A1,retrofit,residential,369.473.684.211
395,2045,R1,2030,windturbine,A1,retrofit,power,597.261.859.439
379,2045,R1,2030,windturbine,A1,retrofit,power,19.908.728.648
123,2030,R1,2030,gasCCGT,A1,retrofit,power,3.57E-03
558,2055,R1,2030,gasCCGT,A1,retrofit,power,3.57E-03
134,2030,R1,2030,gassupply1,A1,retrofit,gas,6.243.324.802.933
202,2035,R1,2030,gasCCGT,A1,retrofit,power,3.57E-03
317,2040,R1,2035,gassupply1,A1,retrofit,gas,3.438.807.240.892
216,2035,R1,2025,windturbine,A1,retrofit,power,1.225.385.028.848
462,2050,R1,2030,gasboiler,A3,retrofit,residential,4.50E-08
564,2055,R1,2045,gassupply1,A1,retrofit,gas,4.023.861.403.855
333,2045,R1,2030,gasboiler,A1,retrofit,residential,3.00E-08
75,2030,R1,2030,gasboiler,A1,retrofit,residential,3.00E-08
507,2055,R1,2030,gasboiler,A1,retrofit,residential,3.00E-08
504,2055,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
534,2055,R1,2030,gasboiler,A3,retrofit,residential,1.50E-08
264,2040,R1,2030,gasboiler,A2,retrofit,residential,4.50E-08
627,2060,R1,2030,gasboiler,A3,retrofit,residential,2.25E-08
240,2040,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
626,2060,R1,2055,gasboiler,A3,retrofit,residential,144.473.682.711
299,2040,R1,2030,windturbine,A1,retrofit,power,1.334.913.537.915
334,2045,R1,2035,gasboiler,A1,retrofit,residential,262.631.575.947
192,2035,R1,2030,gasboiler,A3,retrofit,residential,4.50E-08
411,2045,R1,2040,gassupply1,A1,retrofit,gas,19.521.340.588.436
582,2060,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
313,2040,R1,2035,gassupply1,A1,retrofit,gas,3.438.807.240.892
208,2035,R1,2025,windturbine,A1,retrofit,power,408.461.676.283
54,2025,R1,2030,gasCCGT,A1,retrofit,power,11.891.171.995
217,2035,R1,2030,windturbine,A1,retrofit,power,4.004.740.613.746
469,2050,R1,2025,windturbine,A1,retrofit,power,408.461.676.283
330,2045,R1,2030,gasboiler,A1,retrofit,residential,2.00E-08
274,2040,R1,2030,gasboiler,A3,retrofit,residential,118.815.789.474
121,2030,R1,2030,windturbine,A1,retrofit,power,19.908.728.648
350,2045,R1,2040,gasboiler,A2,retrofit,residential,0.923684211
247,2040,R1,2030,heatpump,A1,retrofit,residential,3.168.421.052.632
413,2045,R1,2040,gassupply1,A1,retrofit,gas,13.014.227.058.957
596,2060,R1,2055,gasboiler,A1,retrofit,residential,577.894.730.842
344,2045,R1,2040,gasboiler,A2,retrofit,residential,0.923684211
85,2030,R1,2030,heatpump,A1,retrofit,residential,2.642.105.263.158
347,2045,R1,2040,gasboiler,A2,retrofit,residential,138.552.631.579
483,2050,R1,2030,gasCCGT,A1,retrofit,power,4.76E-03
341,2045,R1,2040,gasboiler,A1,retrofit,residential,246.315.789.474
119,2030,R1,2025,windturbine,A1,retrofit,power,612.692.514.424
607,2060,R1,2050,gasboiler,A2,retrofit,residential,0.923684211
468,2050,R1,2030,gasCCGT,A1,retrofit,power,2.38E-03
616,2060,R1,2050,gasboiler,A2,retrofit,residential,184.736.842.105
396,2045,R1,2025,windturbine,A1,retrofit,power,1.225.385.028.848
297,2040,R1,2030,windturbine,A1,retrofit,power,19.908.728.648
