,year,commodity,region,installed,technology,agent,category,sector,supply
633,2030,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.452.739.481.558
634,2050,heat,R1,2040,gasboiler,A1,retrofit,residential,0.351
635,2045,heat,R1,2025,gasboiler,A1,retrofit,residential,5.70E-09
636,2040,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.77E-03
637,2045,heat,R1,2025,gasboiler,A3,retrofit,residential,2.85E-09
638,2060,heat,R1,2055,gasboiler,A1,retrofit,residential,10.979.999.886
639,2035,electricity,R1,2030,windturbine,A1,retrofit,power,0.289597632
640,2030,CO2f,R1,2025,gasboiler,A1,retrofit,residential,387.397.195.082
641,2050,heat,R1,2045,gasboiler,A3,retrofit,residential,0.411749996
642,2025,heat,R1,2025,gasboiler,A2,retrofit,residential,0.975
643,2030,CO2f,R1,2025,gasCCGT,A1,retrofit,power,1.24E-01
644,2060,CO2f,R1,2055,gasboiler,A3,retrofit,residential,2.664.434.222.336
645,2055,gas,R1,2050,gassupply1,A1,retrofit,gas,0.9
646,2025,heat,R1,2025,gasboiler,A1,retrofit,residential,0.532
647,2025,CO2f,R1,2025,gassupply1,A1,retrofit,gas,174.183.650.955
648,2025,electricity,R1,2025,gasCCGT,A1,retrofit,power,0.09
649,2060,heat,R1,2055,gasboiler,A3,retrofit,residential,0.411749996
650,2035,heat,R1,2025,gasboiler,A1,retrofit,residential,0.448999994
651,2045,heat,R1,2035,gasboiler,A1,retrofit,residential,0.997999989
652,2045,gas,R1,2040,gassupply1,A1,retrofit,gas,161.272.497.745
653,2060,heat,R1,2050,gasboiler,A2,retrofit,residential,0.26325
654,2050,CO2f,R1,2025,gasboiler,A1,retrofit,residential,7.38E-03
655,2060,CO2f,R1,2025,gasboiler,A1,retrofit,residential,3.69E-03
656,2030,CO2f,R1,2025,gasboiler,A1,retrofit,residential,3.69E-03
657,2030,gas,R1,2025,gassupply1,A1,retrofit,gas,0.471516682
658,2045,heat,R1,2035,gasboiler,A3,retrofit,residential,0.249499997
659,2055,CO2f,R1,2050,gasboiler,A1,retrofit,residential,2.271.321
660,2035,electricity,R1,2025,windturbine,A1,retrofit,power,0.028793479
661,2050,CO2f,R1,2045,gassupply1,A1,retrofit,gas,203.577.366.737
662,2035,CO2f,R1,2025,gasboiler,A2,retrofit,residential,1.452.739.481.558
663,2045,gas,R1,2035,gassupply1,A1,retrofit,gas,0.852275023
664,2045,CO2f,R1,2040,gasboiler,A1,retrofit,residential,2.271.321
665,2040,heat,R1,2030,heatpump,A2,retrofit,residential,0.22575
666,2060,gas,R1,2055,gassupply1,A1,retrofit,gas,0.997275023
667,2030,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.179.109.222.336
668,2030,CO2f,R1,2025,gassupply1,A1,retrofit,gas,0.721893076
669,2025,CO2f,R1,2025,gasboiler,A1,retrofit,residential,3.442.572
670,2035,gas,R1,2025,gassupply1,A1,retrofit,gas,0.943033363
671,2040,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.84E-03
672,2030,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.436.331.555.327
673,2040,heat,R1,2030,heatpump,A1,retrofit,residential,0.301
674,2030,gas,R1,2025,gassupply1,A1,retrofit,gas,137.542
675,2030,heat,R1,2025,gasboiler,A3,retrofit,residential,0.336749996
676,2060,CO2f,R1,2050,gasboiler,A1,retrofit,residential,2.271.321
677,2045,heat,R1,2040,gasboiler,A3,retrofit,residential,0.1755
678,2030,CO2f,R1,2025,gasboiler,A2,retrofit,residential,1.452.739.481.558
679,2055,CO2f,R1,2045,gasboiler,A3,retrofit,residential,5.328.868.444.673
680,2050,CO2f,R1,2040,gasboiler,A3,retrofit,residential,11.356.605
681,2040,CO2f,R1,2035,gasboiler,A3,retrofit,residential,4.843.543.444.673
682,2055,CO2f,R1,2045,gasboiler,A2,retrofit,residential,1.776.289.481.558
683,2060,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.77E-03
684,2030,heat,R1,2025,heatpump,A1,retrofit,residential,0.167333333
685,2035,CO2f,R1,2025,gasboiler,A1,retrofit,residential,2.905.478.963.115
686,2055,heat,R1,2045,gasboiler,A2,retrofit,residential,0.548999994
687,2060,heat,R1,2050,gasboiler,A1,retrofit,residential,0.468
688,2045,CO2f,R1,2040,gassupply1,A1,retrofit,gas,164.605.698.909
689,2045,heat,R1,2040,gasboiler,A2,retrofit,residential,0.351
690,2050,CO2f,R1,2040,gassupply1,A1,retrofit,gas,246.908.548.364
691,2050,CO2f,R1,2040,gasboiler,A3,retrofit,residential,170.349.075
692,2040,heat,R1,2030,heatpump,A2,retrofit,residential,0.1505
693,2040,heat,R1,2030,heatpump,A1,retrofit,residential,0.200666667
694,2055,CO2f,R1,2045,gassupply1,A1,retrofit,gas,101.788.683.369
695,2040,heat,R1,2035,gasboiler,A2,retrofit,residential,0.249499997
696,2035,electricity,R1,2025,gasCCGT,A1,retrofit,power,5.91E-09
697,2050,heat,R1,2040,gasboiler,A2,retrofit,residential,0.1755
698,2040,gas,R1,2035,gassupply1,A1,retrofit,gas,0.852275023
699,2045,heat,R1,2025,gasboiler,A2,retrofit,residential,4.27E-09
700,2055,CO2f,R1,2050,gassupply1,A1,retrofit,gas,206.685.296.595
701,2035,CO2f,R1,2025,gassupply1,A1,retrofit,gas,10.828.396.134
702,2050,CO2f,R1,2025,gasboiler,A1,retrofit,residential,2.46E-04
703,2060,CO2f,R1,2055,gassupply1,A1,retrofit,gas,152.683.025.053
704,2060,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.84E-03
705,2035,electricity,R1,2025,gasCCGT,A1,retrofit,power,1.18E-05
706,2025,heat,R1,2025,gasboiler,A2,retrofit,residential,0.65
707,2030,heat,R1,2025,gasboiler,A2,retrofit,residential,0.224499997
708,2055,CO2f,R1,2025,gasboiler,A1,retrofit,residential,3.69E-03
709,2060,heat,R1,2055,gasboiler,A1,retrofit,residential,0.365999996
710,2030,heat,R1,2025,gasboiler,A3,retrofit,residential,0.224499997
711,2030,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.905.478.963.115
712,2035,heat,R1,2025,gasboiler,A2,retrofit,residential,0.673499991
713,2025,heat,R1,2025,heatpump,A1,retrofit,residential,0.251
714,2035,heat,R1,2025,gasboiler,A1,retrofit,residential,5.70E-09
715,2045,CO2f,R1,2040,gasboiler,A1,retrofit,residential,4.542.642
716,2040,heat,R1,2035,gasboiler,A2,retrofit,residential,0.249499997
717,2045,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.84E-03
718,2030,gas,R1,2025,gassupply1,A1,retrofit,gas,0.471516682
719,2030,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.218.165.777.664
720,2040,gas,R1,2035,gassupply1,A1,retrofit,gas,0.852275023
721,2040,CO2f,R1,2035,gasboiler,A2,retrofit,residential,2.421.771.722.336
722,2040,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.77E-03
723,2060,heat,R1,2025,gasboiler,A3,retrofit,residential,2.85E-09
724,2035,electricity,R1,2025,windturbine,A1,retrofit,power,0.043190218
725,2035,heat,R1,2030,gasboiler,A3,retrofit,residential,0.22575
726,2055,heat,R1,2025,gasboiler,A3,retrofit,residential,8.55E-09
727,2040,heat,R1,2025,gasboiler,A1,retrofit,residential,5.70E-09
728,2035,CO2f,R1,2025,gasboiler,A2,retrofit,residential,5.53E-03
729,2030,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.179.109.222.336
730,2045,heat,R1,2040,gasboiler,A2,retrofit,residential,0.1755
731,2055,CO2f,R1,2025,gasboiler,A3,retrofit,residential,5.53E-03
732,2030,heat,R1,2025,gasboiler,A1,retrofit,residential,7.60E-09
733,2050,heat,R1,2045,gasboiler,A2,retrofit,residential,0.548999994
734,2060,gas,R1,2050,gassupply1,A1,retrofit,gas,1.8
735,2030,gas,R1,2025,gassupply1,A1,retrofit,gas,0.943033363
736,2060,heat,R1,2050,gasboiler,A3,retrofit,residential,0.26325
737,2050,CO2f,R1,2045,gasboiler,A3,retrofit,residential,2.664.434.222.336
738,2055,heat,R1,2045,gasboiler,A2,retrofit,residential,0.274499997
739,2050,gas,R1,2045,gassupply1,A1,retrofit,gas,0.997275023
740,2045,heat,R1,2025,gasboiler,A3,retrofit,residential,2.85E-09
741,2050,heat,R1,2045,gasboiler,A2,retrofit,residential,0.411749996
742,2060,heat,R1,2055,gasboiler,A3,retrofit,residential,0.274499997
743,2055,CO2f,R1,2050,gasboiler,A2,retrofit,residential,170.349.075
744,2040,heat,R1,2030,gasboiler,A3,retrofit,residential,0.1505
745,2030,heat,R1,2025,gasboiler,A1,retrofit,residential,0.29933333
746,2060,CO2f,R1,2050,gassupply1,A1,retrofit,gas,13.779.019.773
747,2055,heat,R1,2050,gasboiler,A2,retrofit,residential,0.1755
748,2055,heat,R1,2025,gasboiler,A2,retrofit,residential,8.55E-09
749,2045,CO2f,R1,2040,gasboiler,A2,retrofit,residential,34.069.815
750,2050,heat,R1,2040,gasboiler,A1,retrofit,residential,0.351
751,2055,CO2f,R1,2045,gasboiler,A3,retrofit,residential,1.776.289.481.558
752,2040,heat,R1,2025,gasboiler,A3,retrofit,residential,2.85E-09
753,2030,heat,R1,2025,gasboiler,A1,retrofit,residential,0.29933333
754,2045,CO2f,R1,2040,gasboiler,A3,retrofit,residential,11.356.605
755,2025,electricity,R1,2025,gasCCGT,A1,retrofit,power,0.045
756,2050,heat,R1,2040,gasboiler,A2,retrofit,residential,0.26325
757,2055,gas,R1,2045,gassupply1,A1,retrofit,gas,0.664850015
758,2025,CO2f,R1,2025,gasboiler,A2,retrofit,residential,31.546.125
759,2060,gas,R1,2055,gassupply1,A1,retrofit,gas,0.664850015
760,2060,CO2f,R1,2050,gasboiler,A3,retrofit,residential,2.271.321
761,2045,heat,R1,2025,gasboiler,A3,retrofit,residential,5.70E-09
762,2045,heat,R1,2025,gasboiler,A1,retrofit,residential,7.60E-09
763,2025,heat,R1,2025,heatpump,A1,retrofit,residential,0.502
764,2050,CO2f,R1,2040,gasboiler,A3,retrofit,residential,11.356.605
765,2060,heat,R1,2055,gasboiler,A2,retrofit,residential,0.274499997
766,2030,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.452.739.481.558
767,2050,heat,R1,2025,gasboiler,A2,retrofit,residential,5.70E-09
768,2050,heat,R1,2040,gasboiler,A3,retrofit,residential,0.1755
769,2040,CO2f,R1,2025,gasboiler,A1,retrofit,residential,3.69E-03
770,2050,heat,R1,2045,gasboiler,A3,retrofit,residential,0.411749996
771,2060,heat,R1,2055,gasboiler,A3,retrofit,residential,0.823499991
772,2050,CO2f,R1,2045,gasboiler,A2,retrofit,residential,3.552.578.963.115
773,2030,heat,R1,2025,gasboiler,A2,retrofit,residential,0.125500003
774,2045,heat,R1,2025,gasboiler,A3,retrofit,residential,4.27E-09
775,2060,heat,R1,2025,gasboiler,A1,retrofit,residential,5.70E-09
776,2035,electricity,R1,2030,windturbine,A1,retrofit,power,0.144798816
777,2035,CO2f,R1,2030,gasboiler,A3,retrofit,residential,1.947.771
778,2030,electricity,R1,2025,windturbine,A1,retrofit,power,0.0658
779,2035,CO2f,R1,2025,gasCCGT,A1,retrofit,power,1.62E-01
780,2060,CO2f,R1,2055,gasboiler,A3,retrofit,residential,3.552.578.963.115
781,2060,CO2f,R1,2050,gassupply2,A1,retrofit,gas,160.796.462.951
782,2040,CO2f,R1,2035,gasboiler,A2,retrofit,residential,1.614.514.481.558
783,2055,heat,R1,2025,gasboiler,A1,retrofit,residential,5.70E-09
784,2060,heat,R1,2055,gasboiler,A1,retrofit,residential,0.731999992
785,2035,heat,R1,2025,gasboiler,A1,retrofit,residential,0.598666659
786,2025,CO2f,R1,2025,gasboiler,A2,retrofit,residential,6.309.225
787,2045,CO2f,R1,2035,gasboiler,A3,retrofit,residential,1.614.514.481.558
788,2040,CO2f,R1,2025,gasCCGT,A1,retrofit,power,8.12E-03
789,2050,CO2f,R1,2045,gassupply1,A1,retrofit,gas,305.366.050.106
790,2050,heat,R1,2025,gasboiler,A3,retrofit,residential,2.85E-09
791,2050,CO2f,R1,2040,gassupply1,A1,retrofit,gas,493.817.096.728
792,2035,CO2f,R1,2025,gasboiler,A1,retrofit,residential,2.46E-04
793,2055,CO2f,R1,2045,gasboiler,A1,retrofit,residential,3.552.578.963.115
794,2060,heat,R1,2050,gasboiler,A3,retrofit,residential,0.1755
795,2045,CO2f,R1,2040,gasboiler,A3,retrofit,residential,34.069.815
796,2040,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.77E-03
797,2045,CO2f,R1,2025,gasboiler,A1,retrofit,residential,7.38E-03
798,2050,CO2f,R1,2040,gasboiler,A1,retrofit,residential,2.271.321
799,2040,gas,R1,2030,gassupply1,A1,retrofit,gas,0.571129995
800,2025,CO2f,R1,2025,gasboiler,A3,retrofit,residential,6.309.225
801,2050,gas,R1,2040,gassupply1,A1,retrofit,gas,161.272.497.745
802,2040,electricity,R1,2025,windturbine,A1,retrofit,power,0.044306066
803,2060,heat,R1,2050,gasboiler,A2,retrofit,residential,0.5265
804,2030,heat,R1,2025,gasboiler,A1,retrofit,residential,0.897999989
805,2035,heat,R1,2025,gasboiler,A3,retrofit,residential,0.224499997
806,2035,CO2f,R1,2030,gasboiler,A3,retrofit,residential,9.738.855
807,2040,CO2f,R1,2035,gassupply1,A1,retrofit,gas,130.483.493.196
808,2055,CO2f,R1,2050,gasboiler,A3,retrofit,residential,11.356.605
809,2040,CO2f,R1,2030,gassupply1,A1,retrofit,gas,13.116.019.153
810,2055,CO2f,R1,2045,gassupply1,A1,retrofit,gas,152.683.025.053
811,2060,heat,R1,2055,gasboiler,A2,retrofit,residential,0.823499991
812,2060,heat,R1,2025,gasboiler,A2,retrofit,residential,4.27E-09
813,2055,gas,R1,2050,gassupply2,A1,retrofit,gas,0.262724977
814,2025,heat,R1,2025,gasboiler,A2,retrofit,residential,0.325
815,2045,CO2f,R1,2040,gasboiler,A3,retrofit,residential,11.356.605
816,2040,gas,R1,2030,gassupply1,A1,retrofit,gas,114.225.998.967
817,2050,heat,R1,2040,gasboiler,A2,retrofit,residential,0.5265
818,2055,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.77E-03
819,2030,gas,R1,2025,gassupply1,A1,retrofit,gas,0.707275023
820,2050,heat,R1,2040,gasboiler,A2,retrofit,residential,0.26325
821,2040,heat,R1,2035,gasboiler,A1,retrofit,residential,0.498999994
822,2035,heat,R1,2025,gasboiler,A1,retrofit,residential,0.448999994
823,2055,heat,R1,2050,gasboiler,A3,retrofit,residential,0.1755
824,2030,CO2f,R1,2025,gasboiler,A1,retrofit,residential,7.38E-03
825,2035,CO2f,R1,2025,gasboiler,A3,retrofit,residential,3.69E-03
826,2040,heat,R1,2025,gasboiler,A3,retrofit,residential,4.27E-09
827,2050,CO2f,R1,2040,gassupply1,A1,retrofit,gas,164.605.698.909
828,2045,heat,R1,2035,gasboiler,A1,retrofit,residential,0.498999994
829,2030,CO2f,R1,2025,gassupply1,A1,retrofit,gas,21.656.792.268
830,2045,heat,R1,2035,gasboiler,A3,retrofit,residential,0.374249996
831,2030,electricity,R1,2025,gasCCGT,A1,retrofit,power,9.00E-09
832,2055,CO2f,R1,2045,gasboiler,A1,retrofit,residential,7.105.157.926.231
833,2045,CO2f,R1,2025,gasboiler,A1,retrofit,residential,3.69E-03
834,2060,heat,R1,2055,gasboiler,A2,retrofit,residential,0.548999994
835,2030,CO2f,R1,2025,gassupply1,A1,retrofit,gas,157.932.828.135
836,2035,CO2f,R1,2025,gasboiler,A2,retrofit,residential,2.179.109.222.336
837,2030,CO2f,R1,2025,gasboiler,A1,retrofit,residential,2.46E-04
838,2035,electricity,R1,2025,gasCCGT,A1,retrofit,power,5.91E-09
839,2055,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.84E-03
840,2060,heat,R1,2055,gasboiler,A2,retrofit,residential,0.411749996
841,2040,heat,R1,2035,gasboiler,A1,retrofit,residential,0.332666663
842,2025,CO2f,R1,2025,gasboiler,A1,retrofit,residential,1.721.286
843,2060,gas,R1,2050,gassupply2,A1,retrofit,gas,0.175149985
844,2035,heat,R1,2025,gasboiler,A1,retrofit,residential,3.80E-09
845,2055,CO2f,R1,2045,gasboiler,A2,retrofit,residential,2.664.434.222.336
846,2060,heat,R1,2050,gasboiler,A1,retrofit,residential,0.234
847,2045,heat,R1,2035,gasboiler,A2,retrofit,residential,0.374249996
848,2060,CO2f,R1,2050,gasboiler,A2,retrofit,residential,170.349.075
849,2030,electricity,R1,2025,windturbine,A1,retrofit,power,0.067499987
850,2035,heat,R1,2030,gasboiler,A3,retrofit,residential,0.301
851,2050,heat,R1,2025,gasboiler,A1,retrofit,residential,5.70E-09
852,2045,CO2f,R1,2040,gasboiler,A2,retrofit,residential,11.356.605
853,2060,gas,R1,2050,gassupply1,A1,retrofit,gas,0.9
854,2040,CO2f,R1,2025,gasboiler,A2,retrofit,residential,1.84E-03
855,2035,CO2f,R1,2025,gassupply1,A1,retrofit,gas,10.828.396.134
856,2040,CO2f,R1,2025,gasCCGT,A1,retrofit,power,5.42E-03
857,2030,CO2f,R1,2025,gasboiler,A2,retrofit,residential,1.624.221.036.885
858,2040,CO2f,R1,2030,gasboiler,A3,retrofit,residential,146.082.825
859,2035,heat,R1,2025,gasboiler,A1,retrofit,residential,0.29933333
860,2050,heat,R1,2040,gasboiler,A3,retrofit,residential,0.351
861,2060,heat,R1,2025,gasboiler,A1,retrofit,residential,1.14E-08
862,2035,gas,R1,2025,gassupply1,A1,retrofit,gas,0.707275023
863,2040,heat,R1,2030,heatpump,A1,retrofit,residential,0.602
864,2055,CO2f,R1,2050,gasboiler,A2,retrofit,residential,11.356.605
865,2035,CO2f,R1,2025,gasboiler,A2,retrofit,residential,1.84E-03
866,2055,heat,R1,2045,gasboiler,A2,retrofit,residential,0.274499997
867,2045,heat,R1,2040,gasboiler,A1,retrofit,residential,0.702
868,2035,CO2f,R1,2025,gasboiler,A2,retrofit,residential,4.358.218.444.673
869,2035,heat,R1,2030,gasboiler,A3,retrofit,residential,0.4515
870,2045,heat,R1,2040,gasboiler,A2,retrofit,residential,0.26325
871,2035,CO2f,R1,2025,gasboiler,A2,retrofit,residential,1.84E-03
872,2045,CO2f,R1,2035,gasboiler,A2,retrofit,residential,2.421.771.722.336
873,2045,gas,R1,2040,gassupply1,A1,retrofit,gas,215.029.996.994
874,2050,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.84E-03
875,2025,heat,R1,2025,gasboiler,A3,retrofit,residential,0.975
876,2050,heat,R1,2025,gasboiler,A3,retrofit,residential,4.27E-09
877,2060,heat,R1,2055,gasboiler,A3,retrofit,residential,0.548999994
878,2040,CO2f,R1,2030,gassupply1,A1,retrofit,gas,174.880.255.373
879,2025,gas,R1,2025,gassupply1,A1,retrofit,gas,341.313
880,2055,CO2f,R1,2045,gassupply1,A1,retrofit,gas,203.577.366.737
881,2030,CO2f,R1,2025,gasboiler,A2,retrofit,residential,1.452.739.481.558
882,2030,CO2f,R1,2025,gasboiler,A1,retrofit,residential,2.46E-04
883,2050,CO2f,R1,2045,gasboiler,A2,retrofit,residential,1.776.289.481.558
884,2055,gas,R1,2050,gassupply1,A1,retrofit,gas,1.35
885,2035,heat,R1,2025,gasboiler,A3,retrofit,residential,2.85E-09
886,2025,electricity,R1,2025,windturbine,A1,retrofit,power,0.0658
887,2025,heat,R1,2025,gasboiler,A3,retrofit,residential,0.325
888,2030,CO2f,R1,2025,gasCCGT,A1,retrofit,power,8.25E-03
889,2040,heat,R1,2030,heatpump,A1,retrofit,residential,0.401333333
890,2045,heat,R1,2025,gasboiler,A2,retrofit,residential,2.85E-09
891,2050,CO2f,R1,2025,gasboiler,A2,retrofit,residential,5.53E-03
892,2045,gas,R1,2035,gassupply1,A1,retrofit,gas,0.568183348
893,2045,CO2f,R1,2040,gasboiler,A1,retrofit,residential,3.028.428
894,2045,CO2f,R1,2035,gassupply1,A1,retrofit,gas,0.869889955
895,2040,heat,R1,2025,gasboiler,A3,retrofit,residential,5.70E-09
896,2060,CO2f,R1,2050,gasboiler,A2,retrofit,residential,2.271.321
897,2030,heat,R1,2025,gasboiler,A1,retrofit,residential,3.80E-09
898,2035,heat,R1,2025,gasboiler,A2,retrofit,residential,8.55E-09
899,2050,CO2f,R1,2040,gasboiler,A1,retrofit,residential,3.028.428
900,2060,CO2f,R1,2050,gassupply2,A1,retrofit,gas,241.194.694.426
901,2045,CO2f,R1,2035,gasboiler,A1,retrofit,residential,3.229.028.963.115
902,2045,heat,R1,2025,gasboiler,A1,retrofit,residential,1.14E-08
903,2060,CO2f,R1,2050,gassupply1,A1,retrofit,gas,206.685.296.595
904,2035,gas,R1,2030,gassupply1,A1,retrofit,gas,0.856694992
905,2025,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.103.075
906,2025,CO2f,R1,2025,gasCCGT,A1,retrofit,power,412.515
907,2045,heat,R1,2025,gasboiler,A1,retrofit,residential,3.80E-09
908,2055,CO2f,R1,2045,gasboiler,A2,retrofit,residential,2.664.434.222.336
909,2050,CO2f,R1,2040,gasboiler,A2,retrofit,residential,170.349.075
910,2035,heat,R1,2025,gasboiler,A2,retrofit,residential,5.70E-09
911,2035,CO2f,R1,2025,gasboiler,A3,retrofit,residential,2.179.109.222.336
912,2050,gas,R1,2045,gassupply1,A1,retrofit,gas,0.664850015
913,2055,heat,R1,2050,gasboiler,A2,retrofit,residential,0.351
914,2055,CO2f,R1,2050,gassupply2,A1,retrofit,gas,160.796.462.951
915,2060,heat,R1,2025,gasboiler,A1,retrofit,residential,3.80E-09
916,2040,CO2f,R1,2030,gassupply1,A1,retrofit,gas,26.232.038.306
917,2045,CO2f,R1,2035,gasboiler,A1,retrofit,residential,215.268.597.541
918,2030,CO2f,R1,2025,gasboiler,A1,retrofit,residential,193.698.597.541
919,2055,CO2f,R1,2025,gasboiler,A1,retrofit,residential,7.38E-03
920,2040,gas,R1,2035,gassupply1,A1,retrofit,gas,0.568183348
921,2055,heat,R1,2045,gasboiler,A3,retrofit,residential,0.823499991
922,2045,CO2f,R1,2035,gasboiler,A2,retrofit,residential,1.614.514.481.558
923,2050,CO2f,R1,2040,gasboiler,A2,retrofit,residential,2.271.321
924,2055,heat,R1,2045,gasboiler,A1,retrofit,residential,0.731999992
925,2040,heat,R1,2025,gasboiler,A2,retrofit,residential,4.27E-09
926,2060,heat,R1,2050,gasboiler,A3,retrofit,residential,0.26325
927,2050,CO2f,R1,2045,gasboiler,A2,retrofit,residential,5.328.868.444.673
928,2060,gas,R1,2050,gassupply2,A1,retrofit,gas,0.262724977
929,2030,heat,R1,2025,gasboiler,A3,retrofit,residential,0.188250004
930,2040,CO2f,R1,2035,gasboiler,A2,retrofit,residential,3.229.028.963.115
931,2045,CO2f,R1,2040,gasboiler,A2,retrofit,residential,2.271.321
932,2025,electricity,R1,2025,windturbine,A1,retrofit,power,0.021933333
933,2050,CO2f,R1,2025,gasboiler,A2,retrofit,residential,1.84E-03
934,2050,gas,R1,2045,gassupply1,A1,retrofit,gas,132.970.003.006
935,2045,CO2f,R1,2035,gasboiler,A3,retrofit,residential,2.421.771.722.336
936,2060,CO2f,R1,2055,gassupply1,A1,retrofit,gas,152.683.025.053
937,2055,CO2f,R1,2045,gassupply1,A1,retrofit,gas,101.788.683.369
938,2050,heat,R1,2045,gasboiler,A1,retrofit,residential,0.365999996
939,2055,CO2f,R1,2045,gasboiler,A3,retrofit,residential,2.664.434.222.336
940,2025,CO2f,R1,2025,gasboiler,A1,retrofit,residential,5.163.858
941,2035,CO2f,R1,2025,gasboiler,A3,retrofit,residential,1.84E-03
942,2045,heat,R1,2035,gasboiler,A1,retrofit,residential,0.665333326
943,2030,heat,R1,2025,gasboiler,A3,retrofit,residential,0.376500009
944,2030,heat,R1,2025,gasboiler,A1,retrofit,residential,1.14E-08
945,2040,heat,R1,2025,gasboiler,A1,retrofit,residential,3.80E-09
946,2055,heat,R1,2045,gasboiler,A3,retrofit,residential,0.411749996
947,2055,CO2f,R1,2050,gasboiler,A3,retrofit,residential,11.356.605
948,2040,gas,R1,2035,gassupply1,A1,retrofit,gas,170.455.004.509
949,2045,CO2f,R1,2035,gassupply1,A1,retrofit,gas,130.483.493.196
